date,home_team,away_team,elo_diff,form_diff,h2h_home_rate,neutral_venue,result
2020-01-07,Barbados,Canada,0.0,0.0,0.5,1,A
2020-01-09,Moldova,Sweden,0.0,0.0,0.5,1,A
2020-01-10,Barbados,Canada,-20.0,-3.0,0.0,1,A
2020-01-12,Kosovo,Sweden,-10.0,-2.0,0.5,1,A
2020-01-15,Canada,Iceland,19.424988722154694,2.0,0.5,1,A
2020-01-19,El Salvador,Iceland,-10.558514289105233,-2.0,0.5,1,A
2020-02-01,United States,Costa Rica,0.0,0.0,0.5,0,H
2020-09-03,Faroe Islands,Malta,0.0,0.0,0.5,0,H
2020-09-03,Latvia,Andorra,0.0,0.0,0.5,0,D
2020-09-03,Slovenia,Greece,0.0,0.0,0.5,0,D
2020-09-03,Moldova,Kosovo,-0.28774368332005906,0.0,0.5,1,D
2020-09-03,Finland,Wales,0.0,0.0,0.5,0,A
2020-09-03,Russia,Serbia,0.0,0.0,0.5,0,H
2020-09-03,Turkey,Hungary,0.0,0.0,0.5,0,A
2020-09-03,Ukraine,Switzerland,0.0,0.0,0.5,0,H
2020-09-03,Germany,Spain,0.0,0.0,0.5,0,D
2020-09-03,Bulgaria,Republic of Ireland,0.0,0.0,0.5,0,D
2020-09-04,Slovakia,Czech Republic,0.0,0.0,0.5,0,A
2020-09-04,Belarus,Albania,0.0,0.0,0.5,0,A
2020-09-04,Scotland,Israel,0.0,0.0,0.5,0,D
2020-09-04,Lithuania,Kazakhstan,0.0,0.0,0.5,0,A
2020-09-04,Norway,Austria,0.0,0.0,0.5,0,A
2020-09-04,Netherlands,Poland,0.0,0.0,0.5,0,H
2020-09-04,Romania,Northern Ireland,0.0,0.0,0.5,0,D
2020-09-04,Italy,Bosnia and Herzegovina,0.0,0.0,0.5,0,D
2020-09-05,Estonia,Georgia,0.0,0.0,0.5,0,A
2020-09-05,North Macedonia,Armenia,0.0,0.0,0.5,0,H
2020-09-05,Azerbaijan,Luxembourg,0.0,0.0,0.5,0,A
2020-09-05,Cyprus,Montenegro,0.0,0.0,0.5,0,A
2020-09-05,Gibraltar,San Marino,0.0,0.0,0.5,0,H
2020-09-05,Portugal,Croatia,0.0,0.0,0.5,0,H
2020-09-05,Denmark,Belgium,0.0,0.0,0.5,0,A
2020-09-05,Iceland,England,20.254709338894145,2.0,0.5,0,A
2020-09-05,Sweden,France,19.71225631667994,2.0,0.5,0,A
2020-09-06,Malta,Latvia,-10.0,-1.0,0.5,0,D
2020-09-06,Andorra,Faroe Islands,-10.0,-2.0,0.5,0,A
2020-09-06,Kosovo,Greece,-9.720538243734154,-0.5,0.5,0,A
2020-09-06,Slovenia,Moldova,9.991718072945787,0.5,0.5,0,H
2020-09-06,Republic of Ireland,Finland,10.0,1.0,0.5,0,A
2020-09-06,Wales,Bulgaria,10.0,2.0,0.5,0,H
2020-09-06,Hungary,Russia,0.0,0.0,0.5,0,A
2020-09-06,Switzerland,Germany,-10.0,-1.0,0.5,0,D
2020-09-06,Spain,Ukraine,-10.0,-2.0,0.5,0,H
2020-09-06,Serbia,Turkey,0.0,0.0,0.5,0,D
2020-09-07,Kazakhstan,Belarus,20.0,3.0,0.5,0,A
2020-09-07,Albania,Lithuania,20.0,3.0,0.5,0,A
2020-09-07,Czech Republic,Scotland,10.0,2.0,0.5,0,A
2020-09-07,Israel,Slovakia,10.0,1.0,0.5,0,D
2020-09-07,Northern Ireland,Norway,10.0,1.0,0.5,0,A
2020-09-07,Austria,Romania,10.0,2.0,0.5,0,A
2020-09-07,Netherlands,Italy,10.0,2.0,0.5,0,A
2020-09-07,Bosnia and Herzegovina,Poland,10.0,1.0,0.5,0,A
2020-09-08,San Marino,Liechtenstein,-10.0,-1.0,0.5,1,A
2020-09-08,Georgia,North Macedonia,0.0,0.0,0.5,0,D
2020-09-08,Cyprus,Azerbaijan,0.0,0.0,0.5,0,A
2020-09-08,Luxembourg,Montenegro,0.0,0.0,0.5,0,A
2020-09-08,Armenia,Estonia,0.0,0.0,0.5,0,H
2020-09-08,France,Croatia,20.566756340869915,3.0,0.5,0,H
2020-09-08,Denmark,England,-20.582317853134327,-3.0,0.5,0,D
2020-09-08,Belgium,Iceland,0.32760851424018256,1.0,0.5,0,H
2020-09-08,Sweden,Portugal,-0.8545000241899743,-1.0,0.5,0,A
2020-10-06,Nicaragua,Guatemala,0.0,0.0,0.5,0,D
2020-10-07,Malta,Gibraltar,-19.71225631667994,-2.5,0.5,0,H
2020-10-07,Switzerland,Croatia,9.696475321533853,0.5,0.5,0,A
2020-10-07,Slovenia,San Marino,29.424750809181205,2.0,0.5,0,H
2020-10-07,Portugal,Spain,9.687661878548852,1.0,0.5,0,D
2020-10-07,Poland,Finland,0.0,0.0,0.5,0,H
2020-10-07,Zambia,Malawi,0.0,0.0,0.5,0,H
2020-10-07,Montenegro,Latvia,20.28774368332006,2.0,0.5,0,D
2020-10-07,Luxembourg,Liechtenstein,-9.712256316679941,-1.5,0.5,0,A
2020-10-07,Netherlands,Mexico,-0.28774368332005906,0.5,0.5,0,A
2020-10-07,Germany,Turkey,9.712256316679941,0.5,0.5,0,D
2020-10-07,France,Ukraine,20.26323166240377,1.5,0.5,0,H
2020-10-07,Estonia,Lithuania,-20.575011277845306,-1.5,0.5,0,A
2020-10-07,Denmark,Faroe Islands,-29.12054162558684,-2.5,0.5,0,H
2020-10-07,Cyprus,Czech Republic,-19.71225631667994,-1.5,0.5,0,A
2020-10-07,Austria,Greece,-10.008037080432132,-0.5,0.5,0,H
2020-10-07,Andorra,Cape Verde,-9.712256316679941,-0.5,0.5,0,A
2020-10-07,Italy,Moldova,29.99195624876711,1.6666666666666667,0.5,0,H
2020-10-08,North Macedonia,Kosovo,29.440831640846227,1.6666666666666667,0.5,0,H
2020-10-08,Georgia,Belarus,9.424988722154694,0.5,0.5,0,H
2020-10-08,Norway,Serbia,10.287743683320059,1.0,0.5,0,A
2020-10-08,Scotland,Israel,10.575487366640118,1.0,0.5,0,D
2020-10-08,Slovakia,Republic of Ireland,0.5754873666401181,0.0,0.5,0,D
2020-10-08,Bosnia and Herzegovina,Northern Ireland,0.0,0.0,0.5,0,D
2020-10-08,Bulgaria,Hungary,-9.712256316679941,-1.0,0.5,0,A
2020-10-08,Iceland,Romania,-10.605922869339565,-0.5,0.5,0,H
2020-10-08,Uruguay,Chile,0.0,0.0,0.5,0,H
2020-10-08,Paraguay,Peru,0.0,0.0,0.5,0,D
2020-10-08,Uzbekistan,Iran,0.0,0.0,0.5,0,A
2020-10-08,South Africa,Namibia,0.0,0.0,0.5,0,D
2020-10-08,Russia,Sweden,20.829905586058885,1.5,0.5,0,A
2020-10-08,England,Wales,-9.721653154638716,-1.0,0.5,0,H
2020-10-08,Belgium,Ivory Coast,19.990570671779324,2.0,0.5,0,D
2020-10-08,Argentina,Ecuador,0.0,0.0,0.5,0,H
2020-10-09,Nigeria,Algeria,0.0,0.0,0.5,1,A
2020-10-09,Brazil,Bolivia,0.0,0.0,0.5,0,H
2020-10-09,Colombia,Venezuela,0.0,0.0,0.5,0,H
2020-10-09,Tunisia,Sudan,0.0,0.0,0.5,0,H
2020-10-09,Morocco,Senegal,0.0,0.0,0.5,0,H
2020-10-09,Mali,Ghana,0.0,0.0,0.5,1,H
2020-10-09,Mauritania,Sierra Leone,0.0,0.0,0.5,0,H
2020-10-09,Kenya,Zambia,-10.0,-2.0,0.5,0,H
2020-10-09,Japan,Cameroon,0.0,0.0,0.5,1,D
2020-10-09,Congo,Gambia,0.0,0.0,0.5,1,A
2020-10-09,Burkina Faso,DR Congo,0.0,0.0,0.5,1,H
2020-10-10,Niger,Chad,0.0,0.0,0.5,0,H
2020-10-10,Honduras,Nicaragua,0.0,0.0,0.5,0,D
2020-10-10,Cape Verde,Guinea,9.720531583800039,2.0,0.5,1,A
2020-10-10,Liechtenstein,Gibraltar,19.999544241349895,1.5,0.5,0,A
2020-10-10,Andorra,Malta,-20.287287924669954,-1.0,0.5,0,D
2020-10-10,Costa Rica,Panama,-10.0,-1.0,0.5,0,A
2020-10-10,Montenegro,Azerbaijan,19.416734571375173,0.8333333333333335,0.5,0,H
2020-10-10,Luxembourg,Cyprus,19.712712075330046,1.0,0.5,0,H
2020-10-10,Ukraine,Germany,-9.137969270597978,0.0,0.5,0,A
2020-10-10,Spain,Switzerland,30.557775639670126,1.3333333333333335,0.5,0,H
2020-10-10,Faroe Islands,Latvia,8.58053520991848,1.0,0.5,0,D
2020-10-11,Armenia,Georgia,-19.728793541138657,-0.8333333333333335,0.5,1,D
2020-10-11,Estonia,North Macedonia,-48.56314199183316,-2.3333333333333335,0.5,0,D
2020-10-11,Kosovo,Slovenia,-47.46307990878654,-2.0833333333333335,0.5,0,A
